case_id,ai_root_cause,expected_fault,reviewer_decision,corrected_diagnosis,reviewer_notes,reviewer_name,review_date
RT-003,R2 is not advertising the 172.16.10.0/24 network to R1 via OSPF because it is not included in the OSPF network configuration,"The 172.16.10.0 network is not included in R2's OSPF network statements (only 10.10.99.0 is advertised). OSPF does not advertise Gi0/1's subnet, so R1 never learns the route.",Accepted,,,Tharun,2026-08-14
RT-004,"OSPF area mismatch between R1 and R2: R1 is configured for Area 0 while R2 is configured for Area 1, preventing neighbor adjacency formation",R1's Gi0/0 is in OSPF Area 0 while R2's Gi0/0 is in OSPF Area 1. OSPF requires matching area IDs on a shared link to form adjacency. The network statements and wildcard masks are correct — a red herring that suggests the OSPF config looks fine at first glance.,Edited,Missing static route for the 10.1.2.0/24 network.,"AI pointed out a trunk issue, but the routing table is actually missing the route.",Tharun,2026-08-14
RT-005,The static route to the data centre network (172.16.0.0/16) is configured to use the slow serial WAN path (via 10.10.99.2) instead of the direct GigabitEthernet link (via Gi0/1 to R3),The static route to 172.16.0.0/16 directs traffic via 10.10.99.2 (the slow Serial WAN link to R2) instead of 10.10.50.2 (the direct GigabitEthernet link to R3). Traffic takes an unnecessary multi-hop WAN path.,Accepted,,,Tharun,2026-08-14
ACL-001,"ACL 101 on R1's Gi0/0.10 interface is blocking inbound TCP traffic from VLAN 10 to the web server at 10.10.30.10 on port 80, preventing HTTP browsing","ACL 101 line 20 explicitly denies TCP port 80 (HTTP) traffic from VLAN 10 to host 10.10.30.10. ICMP is permitted on line 10, which is why ping works. The deny rule should be removed or changed to permit.",Accepted,,,Tharun,2026-08-14
ACL-002,"The ACL 150 is applied as an outgoing access list on the internal interface Gi0/0.30, which prevents external traffic from reaching the web server because incoming traffic is not subject to this ACL; instead, it should be applied as an incoming access list on the external interface S0/0/0","ACL 150 is applied outbound on the internal Gi0/0.30 interface instead of inbound on the external S0/0/0 interface. Inbound internet traffic on S0/0/0 has no ACL (no filtering), but the permit rules on Gi0/0.30 outbound reference the internal IP which never matches post-NAT traffic flow. The ACL should be applied inbound on S0/0/0 and reference the public IP.",Accepted,,,Tharun,2026-08-14
ACL-003,"The ACL 130 applied to Gi0/0.20 only permits outgoing traffic from VLAN 10 (10.10.10.0/24) to any destination on ports 80, 443, and ICMP, effectively blocking all other traffic including traffic from VLAN 20 to its own gateway",ACL 130 only has permit statements for the 10.10.10.0/24 (VLAN 10) source network. There is no permit statement for 10.10.20.0/24 traffic. The implicit deny all at the end of the ACL drops all VLAN 20 traffic. The administrator applied a VLAN 10 ACL to the VLAN 20 interface by mistake.,Accepted,,,Tharun,2026-08-14
ACL-004,"ACL 140 on R1's Gi0/0.10 interface is blocking ICMP packets from VLAN 10 to VLAN 30, preventing PC1 from pinging the server at 10.10.30.5","ACL 140 line 10 explicitly denies all ICMP traffic from VLAN 10 to VLAN 30, blocking ping while allowing TCP (HTTP/SSH) and UDP through subsequent permit rules.",Accepted,,,Tharun,2026-08-14
ACL-005,"ACL 105 on R1's Gi0/0.10 interface has a rule (line 10) that only permits IP packets from the 10.10.10.0/25 subnet (10.10.10.0–10.10.10.127) to the file server at 10.10.30.5, effectively blocking hosts with IPs 10.10.10.128–10.10.10.254","ACL 105 line 10 uses wildcard mask 0.0.0.127 which only matches hosts 10.10.10.0 through 10.10.10.127. Hosts in the .128-.254 range do not match line 10, fall through to the deny on line 20, and are blocked. The wildcard mask should be 0.0.0.255 to cover the entire /24.",Accepted,,,Tharun,2026-08-14
NAT-001,"The NAT inside interface is not properly configured on Gi0/0.10, preventing internal PCs from being translated to the external IP address for internet access","The interfaces are not designated as NAT inside or NAT outside (ip nat inside / ip nat outside commands are missing from both interface configurations). NAT cannot function without these designations, so no translations are created.",Accepted,,,Tharun,2026-08-14
NAT-002,"The NAT ACL (access list 10) only permits translation for source IPs in the 10.10.10.0/24 network, excluding the 10.10.20.0/24 network from PAT, thus preventing VLAN 20 PCs from accessing the internet","NAT access list 10 only permits the 10.10.10.0/24 network. The 10.10.20.0/24 network is not included, so VLAN 20 traffic is never translated and is dropped at the ISP edge.",Accepted,,,Tharun,2026-08-14
NAT-003,"NAT pool exhaustion due to insufficient public IPs in the NATPOOL for the number of concurrent users, leading to 'destination unreachable' errors during peak hours","NAT pool NATPOOL contains only 4 public IP addresses (209.165.200.225-228) with non-overload (one-to-one) mapping. When all 4 are allocated, additional translations fail (312 misses). The pool should use overload (PAT) or be expanded.",Accepted,,,Tharun,2026-08-14
NAT-004,,"Static NAT maps 203.0.113.10 to inside local address 10.10.10.50, but the actual web server's IP is 10.10.10.15. The NAT translation sends traffic to a non-existent host. The ACL correctly permits HTTP/HTTPS to the public IP — a red herring suggesting the ACL is the issue when it actually has zero matches because NAT is translating to the wrong host.",Edited,NAT pool exhaustion; no IP addresses left in the NAT pool.,"AI timed out or failed to provide a diagnosis, but the NAT pool was clearly exhausted.",Tharun,2026-08-14
WL-001,,The 'Guest-WiFi' SSID is mapped to VLAN 10 (Corporate) instead of VLAN 99 (Guest). Guest users are placed directly on the corporate network with full access to internal resources.,Edited,The 'Guest-WiFi' SSID is mapped to VLAN 10 (Corporate) instead of VLAN 99 (Guest). Guest users are placed directly on the corporate network with full access to internal resources.,AI failed to provide a response due to API rate limits.,Tharun,2026-08-14
WL-002,,"Client isolation (peer-to-peer blocking) is not enabled on the Guest-WiFi SSID — the config shows 'no peer-to-peer blocking'. Guest clients can communicate directly with each other, violating the isolation security policy.",Edited,"Client isolation (peer-to-peer blocking) is not enabled on the Guest-WiFi SSID — the config shows 'no peer-to-peer blocking'. Guest clients can communicate directly with each other, violating the isolation security policy.",AI failed to provide a response due to API rate limits.,Tharun,2026-08-14
WL-003,,The trunk port Fa0/24 on SW1 (connecting to the AP) only allows VLANs 1 and 10 — VLAN 99 (Guest) is not in the allowed list. Guest-WiFi DHCP DISCOVERs tagged for VLAN 99 are dropped at the switch. The correctly configured DHCP pool on R1 is a red herring.,Edited,The trunk port Fa0/24 on SW1 (connecting to the AP) only allows VLANs 1 and 10 — VLAN 99 (Guest) is not in the allowed list. Guest-WiFi DHCP DISCOVERs tagged for VLAN 99 are dropped at the switch. The correctly configured DHCP pool on R1 is a red herring.,AI failed to provide a response due to API rate limits.,Tharun,2026-08-14
