case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
DHCP-001,"Newly connected PCs on VLAN 10 receive 169.254.x.x APIPA addresses. PCs that were already connected and had DHCP leases still work but cannot renew. The switch port LEDs are green.","R1 is the DHCP server for VLAN 10 (10.10.10.0/24). Pool name VLAN10-POOL. VLAN 10 has 28 active hosts. DHCP pool was configured with a /27 network.","R1# show ip dhcp pool

Pool VLAN10-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 30
 Leased addresses               : 30
 Pending event                  : none
 0 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.10.31          10.10.10.1       - 10.10.10.30     30

R1# show ip dhcp binding
IP address       Client-ID/              Lease expiration        Type
                 Hardware address
10.10.10.1       0100.1a2b.3c01          Aug 09 2026 08:00 AM    Automatic
10.10.10.2       0100.1a2b.3c02          Aug 09 2026 08:01 AM    Automatic
...
10.10.10.30      0100.1a2b.3c1e          Aug 09 2026 08:30 AM    Automatic

R1# show ip dhcp server statistics
Memory usage         42352
Address pools        1
Database agents      0
Automatic bindings   30
Manual bindings      0
Expired bindings     0
Malformed messages   0
Message              Received
BOOTREQUEST          0
DHCPDISCOVER         45
DHCPREQUEST          30
DHCPINFORM           0
DHCPRELEASE          0
DHCPDECLINE          0
Message              Sent
BOOTREPLY            0
DHCPOFFER            30
DHCPACK              30
DHCPNAK              15","DHCP pool for VLAN 10 is completely exhausted — all 30 addresses in the /27 scope are leased. New clients receive no offer and fall back to APIPA. The pool should be expanded to a /24 to accommodate all hosts.","Layer 3 - Network",DHCP failures,High
DHCP-002,"PCs on VLAN 10 (10.10.10.0/24) receive IP addresses via DHCP but get addresses in the 10.10.20.x range. They cannot communicate with any other VLAN 10 host or the gateway.","R1 is the DHCP server. VLAN 10 uses 10.10.10.0/24 with gateway 10.10.10.1. DHCP pool name is VLAN10-POOL.","R1# show ip dhcp pool

Pool VLAN10-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 5
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.20.6           10.10.20.1       - 10.10.20.254    5

R1# show running-config | section dhcp
ip dhcp pool VLAN10-POOL
 network 10.10.20.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.10.5
ip dhcp excluded-address 10.10.20.1 10.10.20.5","DHCP pool VLAN10-POOL is configured with the wrong network statement — 10.10.20.0/24 instead of 10.10.10.0/24. Clients receive addresses from the wrong subnet and cannot communicate on their actual VLAN.","Layer 3 - Network",DHCP failures,High
DHCP-003,"PCs on VLAN 40 (10.10.40.0/24) receive APIPA addresses. PCs on VLAN 10 on the same switch get DHCP addresses from R1 immediately.","R1 (10.10.10.1) is the DHCP server for all VLANs. MLS1 is an L3 switch with SVIs. VLAN 10 PCs are on the same subnet as R1. VLAN 40 PCs are on a different subnet behind MLS1's SVI Vlan40 (10.10.40.1).","MLS1# show running-config interface Vlan40
interface Vlan40
 ip address 10.10.40.1 255.255.255.0
 no shutdown

MLS1# show running-config interface Vlan10
interface Vlan10
 ip address 10.10.10.2 255.255.255.0
 ip helper-address 10.10.10.1
 no shutdown

R1# show ip dhcp pool

Pool VLAN40-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 0
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.40.1           10.10.40.1       - 10.10.40.254    0","The ip helper-address command is missing on MLS1's SVI Vlan40 interface. DHCP broadcast DISCOVERs from VLAN 40 clients are not relayed to the DHCP server (R1) on the remote subnet. VLAN 10 works because it is on the same subnet as R1.","Layer 3 - Network",DHCP failures,Medium
DHCP-004,"Only 5 PCs on VLAN 10 (10.10.10.0/24) successfully get DHCP addresses. The 6th PC and onward get APIPA despite the pool showing total addresses as 254. [RED HERRING: pool size appears correct at 254 addresses.]","R1 is the DHCP server for VLAN 10. An administrator recently added a broad exclusion range as a 'security measure'. 30 PCs need addresses.","R1# show ip dhcp pool

Pool VLAN10-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 5
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased addresses
 10.10.10.255         10.10.10.1       - 10.10.10.254    5

R1# show running-config | section dhcp
ip dhcp excluded-address 10.10.10.1 10.10.10.250
ip dhcp pool VLAN10-POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.10.5

R1# show ip dhcp binding
IP address       Client-ID/              Lease expiration        Type
                 Hardware address
10.10.10.251     0100.1a2b.3c01          Aug 09 2026 08:00 AM    Automatic
10.10.10.252     0100.1a2b.3c02          Aug 09 2026 08:01 AM    Automatic
10.10.10.253     0100.1a2b.3c03          Aug 09 2026 08:02 AM    Automatic
10.10.10.254     0100.1a2b.3c04          Aug 09 2026 08:03 AM    Automatic
10.10.10.250     0100.1a2b.3c05          Aug 09 2026 08:04 AM    Automatic","The DHCP excluded-address range 10.10.10.1 through 10.10.10.250 is overly broad, leaving only 4 usable addresses (.251-.254). The pool's total of 254 addresses is a red herring — the exclusion negates nearly all of them.","Layer 3 - Network",DHCP failures,High
DHCP-005,"PCs on VLAN 10 get IP addresses via DHCP (10.10.10.x) and can ping other local hosts, but cannot reach any remote network. Pinging the gateway 10.10.10.1 from the PC fails.","R1 is the DHCP server and gateway (Gi0/0.10 = 10.10.10.1/24) for VLAN 10. 15 PCs in VLAN 10.","R1# show ip dhcp pool

Pool VLAN10-POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 15
 Pending event                  : none

R1# show running-config | section dhcp
ip dhcp excluded-address 10.10.10.1 10.10.10.10
ip dhcp pool VLAN10-POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.254
 dns-server 10.10.10.5

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up

C:\> ipconfig
Ethernet adapter Ethernet0:
   IPv4 Address. . . . . . . . . : 10.10.10.11
   Subnet Mask . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . : 10.10.10.254","DHCP pool default-router is set to 10.10.10.254 (no device exists at that address) instead of 10.10.10.1 (R1's actual gateway interface). PCs receive the wrong gateway via DHCP and cannot route off-subnet.","Layer 3 - Network",DHCP failures,Medium
DNS-001,"PCs can ping 8.8.8.8 and all internal servers by IP, but browsing to www.corporate.local or any hostname fails. nslookup times out.","R1 is the DHCP server for VLAN 10 (10.10.10.0/24). A DNS server runs at 10.10.10.5 on Fa0/20 of SW1. DHCP pushes DNS settings to clients.","R1# show running-config | section dhcp
ip dhcp pool VLAN10-POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.10.50

C:\> ipconfig /all
Ethernet adapter Ethernet0:
   IPv4 Address. . . . . . . . . : 10.10.10.11
   Subnet Mask . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . : 10.10.10.1
   DNS Servers . . . . . . . . . : 10.10.10.50

C:\> ping 10.10.10.5
Reply from 10.10.10.5: bytes=32 time<1ms TTL=128
Reply from 10.10.10.5: bytes=32 time<1ms TTL=128","DHCP pool distributes the wrong DNS server address — 10.10.10.50 (non-existent) instead of 10.10.10.5 (the actual DNS server). Clients send DNS queries to a host that does not exist.","Layer 7 - Application",DNS issues,Medium
DNS-002,"nslookup fails from all PCs with 'request timed out'. Pinging the DNS server at 10.10.10.5 by IP address succeeds. [RED HERRING: DNS server IP in DHCP config is correct.]","R1 is the gateway and has ACL 120 applied inbound on Gi0/0.10. DNS server is at 10.10.10.5 on VLAN 10. DHCP correctly assigns dns-server 10.10.10.5.","R1# show running-config | section dhcp
ip dhcp pool VLAN10-POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1
 dns-server 10.10.10.5

R1# show access-lists
Extended IP access list 120
    10 permit icmp any any (1520 matches)
    20 permit tcp any any eq 80 (890 matches)
    30 permit tcp any any eq 443 (672 matches)
    40 deny   udp any any eq 53 (342 matches)
    50 permit ip any any (105 matches)

R1# show ip interface GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Ingoing access list is 120
  Outgoing access list is not set","ACL 120 on R1 Gi0/0.10 explicitly denies UDP port 53 (line 40) before the permit-all on line 50, blocking DNS query traffic. The DHCP dns-server configuration is correct — a red herring that makes it appear the DNS setup is fine.","Layer 7 - Application",DNS issues,High
DNS-003,"PCs can ping every IP address including the DNS server and the gateway, but any name resolution (nslookup, browsing by hostname) fails. ipconfig /all shows no DNS server configured.","R1 is the DHCP server. DNS server is at 10.10.10.5 on VLAN 10. 10 PCs in VLAN 10.","R1# show running-config | section dhcp
ip dhcp pool VLAN10-POOL
 network 10.10.10.0 255.255.255.0
 default-router 10.10.10.1

R1# show ip dhcp binding
IP address       Client-ID/              Lease expiration        Type
                 Hardware address
10.10.10.11      0100.1a2b.3c01          Aug 09 2026 08:00 AM    Automatic
10.10.10.12      0100.1a2b.3c02          Aug 09 2026 08:01 AM    Automatic

C:\> ipconfig /all
Ethernet adapter Ethernet0:
   IPv4 Address. . . . . . . . . : 10.10.10.11
   Subnet Mask . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . : 10.10.10.1
   DNS Servers . . . . . . . . . :","The DHCP pool is missing the dns-server option entirely. PCs receive an IP and gateway via DHCP but no DNS server address, so all name resolution fails.","Layer 7 - Application",DNS issues,Medium
DNS-004,"All PCs report DNS failures — browsing and nslookup time out. Pinging the DNS server 10.10.10.5 returns 'Request timed out'. The switch port for the DNS server is up. [RED HERRING: Switch port Fa0/20 is up/up and in correct VLAN.]","DNS server is connected to SW1 Fa0/20 in VLAN 10. R1 is the gateway. PCs are in VLAN 10 (10.10.10.0/24).","SW1# show interfaces Fa0/20 status
Port      Name       Status       Vlan       Duplex  Speed Type
Fa0/20    DNS-SRV    connected    10         a-full  a-100 10/100BaseTX

SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
10   Sales                            active    Fa0/1, Fa0/2, Fa0/3, Fa0/20

R1# show arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.10.10.1              -   0019.aa6b.3401  ARPA   Gi0/0.10
Internet  10.10.10.11             8   00d0.ba12.3401  ARPA   Gi0/0.10
Internet  10.10.10.5              0   Incomplete      ARPA   Gi0/0.10

C:\> ping 10.10.10.5
Request timed out.
Request timed out.","The DNS server at 10.10.10.5 is powered off or its NIC is disconnected — ARP resolution for 10.10.10.5 shows 'Incomplete' on R1. The switch port being up/connected is a red herring (the port may be connected but the server's NIC or OS is not responding).","Layer 1 - Physical",DNS issues,Critical
RT-001,"PCs on VLAN 10 (10.10.10.0/24) can reach VLAN 20 (10.10.20.0/24) but cannot reach the server farm on 10.10.30.0/24. Traceroute from PC stops at R1.","R1 has subinterfaces for VLANs 10, 20, 30. R2 connects the server farm 10.10.30.0/24 via a serial link (10.10.99.0/30) to R1. Static routing is used.","R1# show ip route
Codes: C - connected, S - static, R - RIP, O - OSPF

Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 4 subnets
C       10.10.10.0/24 is directly connected, GigabitEthernet0/0.10
C       10.10.20.0/24 is directly connected, GigabitEthernet0/0.20
C       10.10.99.0/30 is directly connected, Serial0/0/0
S       10.10.30.0/24 [1/0] via 10.10.99.2

R2# show ip route
Codes: C - connected, S - static, R - RIP, O - OSPF

Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 2 subnets
C       10.10.30.0/24 is directly connected, GigabitEthernet0/0
C       10.10.99.0/30 is directly connected, Serial0/0/0","R1 has a static route to 10.10.30.0/24 via R2, but R2 has no return route to 10.10.10.0/24 or 10.10.20.0/24. Packets reach the server farm but replies are dropped by R2 because it has no route back.","Layer 3 - Network",Routing,High
RT-002,"Traffic to the branch office network 192.168.1.0/24 is completely blackholed. Ping from R1 to 192.168.1.1 shows 100% packet loss. The serial link between R1 and R2 is up/up.","R1 (S0/0/0 = 10.10.99.1/30) connects to R2 (S0/0/0 = 10.10.99.2/30). R2 connects to the branch at 192.168.1.0/24 via Gi0/0. Static routes are used.","R1# show ip route
Codes: C - connected, S - static, R - RIP, O - OSPF

Gateway of last resort is not set

     10.0.0.0/8 is variably subnetted, 3 subnets
C       10.10.10.0/24 is directly connected, GigabitEthernet0/0.10
C       10.10.20.0/24 is directly connected, GigabitEthernet0/0.20
C       10.10.99.0/30 is directly connected, Serial0/0/0
S    192.168.1.0/24 [1/0] via 10.10.99.5

R1# show interfaces Serial0/0/0
Serial0/0/0 is up, line protocol is up
  Hardware is GT96K Serial
  Internet address is 10.10.99.1/30
  MTU 1500 bytes, BW 1544 Kbit/sec, DLY 20000 usec

R1# ping 10.10.99.2
Type escape sequence to abort.
!!!!!
Success rate is 100 percent (5/5)

R1# ping 192.168.1.1
Type escape sequence to abort.
.....
Success rate is 0 percent (0/5)","Static route to 192.168.1.0/24 on R1 points to next-hop 10.10.99.5, which does not exist on the serial link (the valid peer is 10.10.99.2). The link being up is confirmed but the next-hop is unreachable.","Layer 3 - Network",Routing,High
RT-003,"R1 has OSPF configured and can see R2 as a neighbor, but the 172.16.10.0/24 network behind R2's GigabitEthernet0/1 never appears in R1's routing table.","R1 (Gi0/0 = 10.10.99.1/30) and R2 (Gi0/0 = 10.10.99.2/30) run OSPF Area 0. R2 also connects to 172.16.10.0/24 on Gi0/1.","R1# show ip ospf neighbor

Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2           1   FULL/BDR        00:00:35    10.10.99.2      Gi0/0

R1# show ip route ospf
(no OSPF routes found)

R2# show ip protocols
Routing Protocol is ""ospf 1""
  Outgoing update filter list for all interfaces is not set
  Incoming update filter list for all interfaces is not set
  Router ID 2.2.2.2
  Number of areas in this router is 1. 1 normal 0 stub 0 nssa
  Routing for Networks:
    10.10.99.0 0.0.0.3 area 0

R2# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         10.10.99.2      YES manual up                    up
GigabitEthernet0/1         172.16.10.1     YES manual up                    up","The 172.16.10.0 network is not included in R2's OSPF network statements (only 10.10.99.0 is advertised). OSPF does not advertise Gi0/1's subnet, so R1 never learns the route.","Layer 3 - Network",Routing,Medium
