case_id,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,rule_checker_findings,matches_expected,notes
DHCP-004,"DHCP excluded-address range 10.10.10.1–10.10.10.250 is overly broad, leaving only 4 usable addresses (.251–.254); the pool's 'Total addresses: 254' is misleading because the exclusion negates nearly all of them",high,show running-config shows 'ip dhcp excluded-address 10.10.10.1 10.10.10.250' — this excludes 250 of 254 addresses. show ip dhcp binding confirms all leases are in the .250–.254 range. The 'Total addresses: 254' in the pool summary does NOT account for exclusions and is a red herring.,show ip dhcp server statistics,"[""Remove the overly broad exclusion: no ip dhcp excluded-address 10.10.10.1 10.10.10.250"", ""Re-add a reasonable exclusion for infrastructure IPs only, e.g.: ip dhcp excluded-address 10.10.10.1 10.10.10.10"", ""Clear stale bindings if needed: clear ip dhcp binding *"", ""Have affected PCs release and renew their DHCP lease (ipconfig /release then ipconfig /renew)"", ""Verify with: show ip dhcp pool \u2014 confirm available addresses are now sufficient for 30 hosts""]",(none),True,Keyword recall 89%
DHCP-005,"The default-router IP address configured in the DHCP pool (10.10.10.254) does not match the IP address of the gateway interface (10.10.10.1) on R1, causing PCs to use an incorrect gateway IP",high,"show running-config | section dhcp shows 'default-router 10.10.10.254', but 'show ip interface brief' shows the gateway interface Gi0/0.10 has IP 10.10.10.1. The PC's ipconfig output confirms it received the incorrect gateway IP (10.10.10.254) via DHCP",show ip route,"[""Update the default-router IP in the DHCP pool to match the gateway interface IP: ip dhcp pool VLAN10-POOL \u2192 default-router 10.10.10.1"", ""Have PCs release and renew their DHCP leases to receive the updated gateway IP: ipconfig /release then ipconfig /renew"", ""Verify the PC's gateway IP has been updated: ipconfig"", ""Test connectivity to remote networks and the gateway: ping 10.10.10.1 and ping <remote_network_ip>""]",(none),True,Keyword recall 48%
DNS-001,"The DNS server IP address pushed by DHCP (10.10.10.50) does not match the actual DNS server IP address (10.10.10.5), causing DNS resolution failures",high,"show running-config | section dhcp shows 'dns-server 10.10.10.50', but the actual DNS server IP is 10.10.10.5 as implied by the topology note and confirmed by successful ping to 10.10.10.5. The client's ipconfig /all output also shows 'DNS Servers . . . . . . . . . : 10.10.10.50', indicating the incorrect DNS server IP is being used.",show ip dhcp binding,"[""Update the DHCP pool to reflect the correct DNS server IP: ip dhcp pool VLAN10-POOL \u2192 dns-server 10.10.10.5"", ""Force clients to renew their DHCP lease: have clients run 'ipconfig /release' followed by 'ipconfig /renew'"", ""Verify the change with: ipconfig /all on a client, ensuring the DNS server IP is now 10.10.10.5"", ""Test DNS resolution again using nslookup or by browsing to a hostname""]",(none),False,OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 7 - Application'; Keyword recall 42%
DNS-002,"ACL 120 on R1's Gi0/0.10 sub-interface blocks incoming UDP DNS requests (deny udp any any eq 53), preventing PCs from resolving names despite having the correct DNS server IP",high,"show access-lists lists '40 deny udp any any eq 53 (342 matches)' in ACL 120, and 'show ip interface GigabitEthernet0/0.10' confirms ACL 120 is applied inbound",show ip access-list 120,"[""Remove or modify the deny UDP 53 rule in ACL 120 to allow DNS traffic: no access-list 120 line 40"", ""Alternatively, add a permit rule for UDP 53 above the deny rule: access-list 120 line 35 permit udp any any eq 53"", ""Apply the updated ACL to the interface or reapply the existing ACL: ip access-group 120 in"", ""Verify with: show access-lists and test nslookup from a PC""]",(none),False,"OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 7 - Application'; Low keyword recall (35%): missing ['40', '50', 'all', 'appear', 'before', 'blocking', 'configuration', 'denies']"
DNS-003,"DHCP server is not providing DNS server information to clients, resulting in failed name resolution",high,"R1's DHCP configuration (show running-config | section dhcp) is missing the 'dns-server' option, and the client's ipconfig /all output shows 'DNS Servers . . . . . . . . . :' as empty",show ip dhcp pool VLAN10-POOL,"[""Add the DNS server option to the DHCP pool: ip dhcp pool VLAN10-POOL \u2192 dns-server 10.10.10.5"", ""Verify the updated configuration: show running-config | section dhcp"", ""Have clients release and renew their DHCP lease: ipconfig /release then ipconfig /renew"", ""Confirm DNS server IP is now populated: ipconfig /all""]",(none),False,"OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 7 - Application'; Low keyword recall (29%): missing ['address', 'all', 'entirely', 'fails', 'gateway', 'ip', 'missing', 'option']"
DNS-004,"The DNS server (10.10.10.5) has an incomplete ARP entry on R1, indicating that R1 has not received an ARP response from the DNS server, likely due to the DNS server not sending ARP replies or a Layer 2 issue",medium,"R1's ARP table shows 'Internet  10.10.10.5              0   Incomplete      ARPA   Gi0/0.10', indicating an incomplete ARP entry for the DNS server. The ping from the PC to the DNS server times out.",show ip interface brief on R1 and show mac address-table on SW1,"[""Verify the DNS server's IP configuration and ensure it is sending ARP replies"", ""Check the switch port configuration for the DNS server on SW1 to ensure it is not in a blocked or err-disabled state"", ""Verify the VLAN configuration on SW1 to ensure the DNS server is in the correct VLAN"", ""Clear the ARP cache on R1: clear arp-cache"", ""Test ARP resolution again: ping 10.10.10.5 from R1 and verify the ARP entry is complete""]",(none),False,"OSI mismatch: AI='Layer 2 - Data Link' vs expected='Layer 1 - Physical'; Low keyword recall (30%): missing ['connected', 'disconnected', 'herring', 'may', 'nic', 'off', 'os', 'port']"
RT-001,"The static route on R1 to the server farm (10.10.30.0/24) via R2 (10.10.99.2) may be incorrect or incomplete, as PCs on VLAN 10 can reach VLAN 20 but not the server farm, and traceroute stops at R1",medium,"R1's routing table shows 'S       10.10.30.0/24 [1/0] via 10.10.99.2', indicating a static route to the server farm via R2, but the traceroute from PCs on VLAN 10 stops at R1, suggesting a potential routing issue",show ip interface brief on R1 and R2 to verify IP addresses and interface status,"[""Verify the IP address of R2's serial interface (10.10.99.2) is correct and reachable from R1"", ""Check for any ACLs or firewall rules on R1 or R2 that might be blocking traffic to the server farm"", ""Verify the static route on R1 is correctly configured: ip route 10.10.30.0 255.255.255.0 10.10.99.2"", ""Consider adding a static route on R2 back to R1 for the VLAN 10 and 20 subnets if not already present"", ""Test connectivity again and use traceroute to verify the path""]",(none),True,Keyword recall 68%
RT-002,Incorrect next-hop IP in the static route to 192.168.1.0/24 — the IP 10.10.99.5 does not match the IP of R2's S0/0/0 interface (10.10.99.2),high,"show ip route lists 'S    192.168.1.0/24 [1/0] via 10.10.99.5', but the correct next-hop should be 10.10.99.2 as seen in the 'show interfaces Serial0/0/0' and confirmed by successful ping to 10.10.99.2",show running-config | section ip route,"[""Correct the static route: ip route 192.168.1.0 255.255.255.0 10.10.99.2"", ""Verify the change: show ip route"", ""Test connectivity again: ping 192.168.1.1""]",(none),True,Keyword recall 54%
RT-003,R2 is not advertising the 172.16.10.0/24 network to R1 via OSPF because it is not included in the OSPF network configuration,high,"R2's 'show ip protocols' output only lists '10.10.99.0 0.0.0.3 area 0' under 'Routing for Networks:', indicating that only the 10.10.99.0/30 network is being advertised via OSPF. The 172.16.10.0/24 network is not mentioned.",show running-config | section ospf,"[""On R2, add the 172.16.10.0/24 network to the OSPF configuration: router ospf 1 \u2192 network 172.16.10.0 0.0.0.255 area 0"", ""Verify the change: show ip protocols"", ""On R1, verify that the 172.16.10.0/24 network appears in the routing table: show ip route ospf""]",(none),True,Keyword recall 43%
RT-004,"OSPF area mismatch between R1 and R2: R1 is configured for Area 0 while R2 is configured for Area 1, preventing neighbor adjacency formation",high,"R1's 'show ip ospf interface GigabitEthernet0/0' shows 'Area 0' while R2's equivalent command shows 'Area 1'. This mismatch is confirmed by 'show ip protocols' on both routers, where R1 has '10.10.99.0 0.0.0.3 area 0' and R2 has '10.10.99.0 0.0.0.3 area 1'",show running-config | section ospf,"[""On R2, change the area to match R1's area: ip ospf 1 area 0"", ""Alternatively, if Area 1 is required on R2, ensure R1 is also configured for Area 1: ip ospf 1 area 1"", ""Verify area consistency with: show ip ospf interface GigabitEthernet0/0"", ""After correcting the area, wait for or force OSPF neighbor adjacency with: clear ip ospf process""]",(none),False,"Low keyword recall (28%): missing ['config', 'correct', 'fine', 'first', 'form', 'gi0', 'glance', 'herring']"
RT-005,The static route to the data centre network (172.16.0.0/16) is configured to use the slow serial WAN path (via 10.10.99.2) instead of the direct GigabitEthernet link (via Gi0/1 to R3),high,"show ip route lists 'S    172.16.0.0/16 [1/0] via 10.10.99.2', indicating the route to the data centre is through the serial WAN. The direct path via Gi0/1 is not used.",show running-config | section ip route,"[""Remove the incorrect static route: no ip route 172.16.0.0 255.255.0.0 10.10.99.2"", ""Add a new static route using the direct path: ip route 172.16.0.0 255.255.0.0 10.10.50.2"", ""Verify with: show ip route \u2014 confirm the route to 172.16.0.0/16 now uses the direct path"", ""Test latency and traceroute again to confirm the fix""]",(none),True,Keyword recall 69%
ACL-001,"ACL 101 on R1's Gi0/0.10 interface is blocking inbound TCP traffic from VLAN 10 to the web server at 10.10.30.10 on port 80, preventing HTTP browsing",high,show access-lists output shows '20 deny tcp 10.10.10.0 0.0.0.255 host 10.10.30.10 eq 80 (156 matches)' — this rule explicitly denies HTTP traffic to the web server. The '156 matches' indicates this rule has been applied to block traffic.,show ip access-list 101,"[""Remove or modify the deny rule: no access-list 101 line 20"", ""Alternatively, add a permit rule above the deny rule to allow HTTP: access-list 101 line 15 permit tcp 10.10.10.0 0.0.0.255 host 10.10.30.10 eq 80"", ""Verify with: show access-lists \u2014 confirm the updated ACL"", ""Test HTTP browsing from a VLAN 10 PC to the web server again""]",(none),False,"OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 4 - Transport'; Low keyword recall (37%): missing ['20', 'changed', 'denies', 'deny', 'explicitly', 'host', 'icmp', 'line']"
ACL-002,"The ACL 150 is applied as an outgoing access list on the internal interface Gi0/0.30, which prevents external traffic from reaching the web server because incoming traffic is not subject to this ACL; instead, it should be applied as an incoming access list on the external interface S0/0/0",high,"show ip interface GigabitEthernet0/0.30 shows 'Outgoing access list is 150', and show ip interface Serial0/0/0 shows no ACL applied. The ACL 150 itself looks correct with permit statements for HTTP and HTTPS, but its application is incorrect.",show ip nat translations,"[""Remove the outgoing ACL from Gi0/0.30: no ip access-group 150 out"", ""Apply ACL 150 as an incoming access list on the external interface S0/0/0: ip access-group 150 in"", ""Verify ACL application with: show ip interface Serial0/0/0"", ""Test external access to the web server again""]",(none),False,OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 4 - Transport'; Keyword recall 50%
ACL-003,"The ACL 130 applied to Gi0/0.20 only permits outgoing traffic from VLAN 10 (10.10.10.0/24) to any destination on ports 80, 443, and ICMP, effectively blocking all other traffic including traffic from VLAN 20 to its own gateway",high,"show access-lists displays ACL 130 with permit statements only for 10.10.10.0/24, and show ip interface GigabitEthernet0/0.20 confirms ACL 130 is applied as the ingoing access list",show ip access-list 130 interface GigabitEthernet0/0.20,"[""Remove the existing ACL 130 from Gi0/0.20: no ip access-group 130 in"", ""Create a new ACL that permits necessary traffic for VLAN 20, including traffic to its own gateway"", ""Apply the new ACL to Gi0/0.20: ip access-group <new_ACL_number> in"", ""Verify with: show ip interface GigabitEthernet0/0.20 and show access-lists""]",(none),False,OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 4 - Transport'; Keyword recall 46%
ACL-004,"ACL 140 on R1's Gi0/0.10 interface is blocking ICMP packets from VLAN 10 to VLAN 30, preventing PC1 from pinging the server at 10.10.30.5",high,"show access-lists output shows '10 deny icmp 10.10.10.0 0.0.0.255 10.10.30.0 0.0.0.255 (87 matches)' which indicates ICMP packets are being denied, and 'show ip interface GigabitEthernet0/0.10' confirms ACL 140 is applied inbound on this interface",show access-list 140,"[""Remove or modify the deny ICMP statement in ACL 140 to allow ICMP packets from VLAN 10 to VLAN 30"", ""Apply the updated ACL to the interface: ip access-group 140 in on Gi0/0.10"", ""Verify with: show access-lists and show ip interface GigabitEthernet0/0.10"", ""Test ping from PC1 to the server at 10.10.30.5 again""]",(none),False,"OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 4 - Transport'; Low keyword recall (30%): missing ['all', 'allowing', 'denies', 'explicitly', 'http', 'line', 'permit', 'ping']"
ACL-005,"ACL 105 on R1's Gi0/0.10 interface has a rule (line 10) that only permits IP packets from the 10.10.10.0/25 subnet (10.10.10.0–10.10.10.127) to the file server at 10.10.30.5, effectively blocking hosts with IPs 10.10.10.128–10.10.10.254",high,"show access-lists output shows '10 permit ip 10.10.10.0 0.0.0.127 host 10.10.30.5', which only allows the first half of the 10.10.10.0/24 subnet to reach 10.10.30.5. The '520 matches' indicates this rule has been applied to traffic.",show ip access-list 105,"[""Modify ACL 105 to permit the entire 10.10.10.0/24 subnet: ip access-list extended 105 \u2192 10 permit ip 10.10.10.0 0.0.0.255 host 10.10.30.5"", ""Alternatively, renumber the blocked hosts to IPs within the 10.10.10.0/25 range if the current IP scheme cannot be changed"", ""Verify with: show access-lists \u2014 confirm the updated rule is in place and has matches"", ""Test connectivity from a previously blocked host to the file server""]",(none),False,"OSI mismatch: AI='Layer 3 - Network' vs expected='Layer 4 - Transport'; Low keyword recall (37%): missing ['20', '24', '255', 'blocked', 'cover', 'deny', 'entire', 'fall']"
NAT-001,"The NAT inside interface is not properly configured on Gi0/0.10, preventing internal PCs from being translated to the external IP address for internet access",high,"show ip nat statistics shows 'Inside interfaces: (none)' and 'Outside interfaces: (none)', indicating that neither the inside nor outside interfaces are properly configured for NAT. show running-config | include nat shows the NAT configuration but lacks the 'ip nat inside' command on the Gi0/0.10 interface",show ip interface brief,"[""Configure the inside NAT interface: interface GigabitEthernet0/0.10 \u2192 ip nat inside"", ""Verify the outside NAT interface is correctly set: interface Serial0/0/0 \u2192 ip nat outside"", ""Confirm the NAT configuration: show ip nat statistics and show ip nat translations after attempting external access from an internal PC"", ""Test internet access from an internal PC to ensure NAT is working correctly""]",(none),False,"Low keyword recall (22%): missing ['both', 'cannot', 'commands', 'configurations', 'created', 'designated', 'designations', 'function']"
NAT-002,"The NAT ACL (access list 10) only permits translation for source IPs in the 10.10.10.0/24 network, excluding the 10.10.20.0/24 network from PAT, thus preventing VLAN 20 PCs from accessing the internet",high,"show access-lists displays 'Standard IP access list 10' with '10 permit 10.10.10.0, wildcard bits 0.0.0.255', and show running-config | include nat shows this list is applied to the NAT configuration with 'ip nat inside source list 10 interface Serial0/0/0 overload'. The absence of 10.10.20.0/24 in this ACL means PCs in VLAN 20 are not translated and thus cannot reach the internet.",show ip nat statistics,"[""Modify the NAT ACL to include the 10.10.20.0/24 network: ip access-list standard 10 \u2192 10 permit 10.10.20.0 0.0.0.255"", ""Alternatively, create a new ACL that includes both networks and update the NAT configuration to use this new list: ip access-list standard 20 \u2192 10 permit 10.10.10.0 0.0.0.255 \u2192 20 permit 10.10.20.0 0.0.0.255, then update the NAT configuration with 'ip nat inside source list 20 interface Serial0/0/0 overload'"", ""Verify the updated ACL with: show access-lists"", ""Test internet connectivity from a VLAN 20 PC""]",(none),True,Keyword recall 61%
NAT-003,"NAT pool exhaustion due to insufficient public IPs in the NATPOOL for the number of concurrent users, leading to 'destination unreachable' errors during peak hours",high,"show ip nat statistics indicates the NAT pool is fully allocated (4 addresses, 100% allocated) and there have been 312 misses, suggesting the pool is too small for the number of users. The 'Total active translations: 4' and 'allocated 4 (100%)' lines specifically support this conclusion.",show ip nat pool NATPOOL detail,"[""Increase the size of the NAT pool by adding more public IPs to the NATPOOL range"", ""Consider implementing PAT with a single public IP and using port address translation to increase the number of concurrent connections"", ""Verify the new configuration with: show ip nat statistics and show ip nat translations"", ""Monitor the NAT pool utilization during peak hours to ensure the issue is resolved""]",(none),False,"Low keyword recall (13%): missing ['165', '200', '209', '225', '228', '312', '4', 'additional']"
NAT-004,,,,,[],(none),False,"OSI mismatch: AI='' vs expected='Layer 3 - Network'; Low keyword recall (0%): missing ['0', '10', '113', '15', '203', '50', 'acl', 'actual']"
WL-001,,,,,[],(none),False,"OSI mismatch: AI='' vs expected='Layer 2 - Data Link'; Low keyword recall (0%): missing ['10', '99', 'access', 'corporate', 'directly', 'full', 'guest', 'instead']"
WL-002,,,,,[],(none),False,"OSI mismatch: AI='' vs expected='Layer 2 - Data Link'; Low keyword recall (0%): missing ['blocking', 'can', 'client', 'clients', 'communicate', 'config', 'directly', 'each']"
WL-003,,,,,[],(none),False,"OSI mismatch: AI='' vs expected='Layer 2 - Data Link'; Low keyword recall (0%): missing ['1', '10', '24', '99', 'allowed', 'allows', 'ap', 'configured']"
